participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
P258907,AV,18-24,Mouse,Daily,1,auditory,1,0,555,217,540,211,16.65,1,547.0,2026-04-05T22:10:09.851Z
P258907,AV,18-24,Mouse,Daily,1,auditory,2,0,421,169,407,148,25.84,1,580.0,2026-04-05T22:10:11.399Z
P258907,AV,18-24,Mouse,Daily,1,auditory,3,0,529,116,544,137,25.21,1,575.0,2026-04-05T22:10:12.951Z
P258907,AV,18-24,Mouse,Daily,1,auditory,4,0,192,155,215,167,25.42,1,527.0,2026-04-05T22:10:14.443Z
P258907,AV,18-24,Mouse,Daily,1,auditory,5,0,692,142,735,143,42.67,0,505.0,2026-04-05T22:10:15.917Z
P258907,AV,18-24,Mouse,Daily,1,auditory,6,0,73,237,83,244,11.65,1,695.0,2026-04-05T22:10:17.589Z
P258907,AV,18-24,Mouse,Daily,1,auditory,7,0,735,249,741,247,6.19,1,585.0,2026-04-05T22:10:19.147Z
P258907,AV,18-24,Mouse,Daily,1,auditory,8,0,658,215,705,217,46.69,0,506.0,2026-04-05T22:10:20.627Z
P258907,AV,18-24,Mouse,Daily,1,auditory,9,0,633,175,609,180,24.75,1,575.0,2026-04-05T22:10:22.175Z
P258907,AV,18-24,Mouse,Daily,1,auditory,10,0,230,99,247,95,17.26,1,697.0,2026-04-05T22:10:23.856Z
P258907,AV,18-24,Mouse,Daily,1,auditory,11,0,61,293,76,321,31.17,1,5988.0,2026-04-05T22:10:30.811Z
P258907,AV,18-24,Mouse,Daily,1,auditory,12,0,182,274,182,278,3.52,1,626.0,2026-04-05T22:10:32.432Z
P258907,AV,18-24,Mouse,Daily,1,auditory,13,0,284,227,297,243,20.02,1,490.0,2026-04-05T22:10:33.886Z
P258907,AV,18-24,Mouse,Daily,1,auditory,14,0,473,255,475,266,10.63,1,471.0,2026-04-05T22:10:35.331Z
P258907,AV,18-24,Mouse,Daily,1,auditory,15,0,293,406,305,425,21.87,1,552.0,2026-04-05T22:10:36.859Z
