participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
misha 2,VA,18-24,Mouse,Weekly,1,visual,1,0,218,346,214,349,5.00,1,1836.1,2026-04-07T22:20:55.982Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,2,0,708,323,708,328,5.00,1,747.3,2026-04-07T22:20:57.686Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,3,0,467,157,483,151,17.09,1,710.3,2026-04-07T22:20:59.349Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,4,0,100,306,93,313,9.90,1,780.6,2026-04-07T22:21:01.082Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,5,0,271,251,267,257,7.21,1,616.5,2026-04-07T22:21:02.655Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,6,0,142,254,132,254,10.00,1,674.5,2026-04-07T22:21:04.283Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,7,0,313,226,312,224,2.24,1,569.4,2026-04-07T22:21:05.808Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,8,0,728,386,729,397,11.05,1,830.5,2026-04-07T22:21:07.589Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,9,0,521,186,528,187,7.07,1,621.4,2026-04-07T22:21:09.170Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,10,0,720,205,726,217,13.42,1,789.4,2026-04-07T22:21:10.918Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,11,0,485,230,509,234,24.33,1,701.4,2026-04-07T22:21:12.575Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,12,0,690,406,686,402,5.66,1,775.5,2026-04-07T22:21:14.304Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,13,0,672,340,679,344,8.06,1,831.8,2026-04-07T22:21:16.090Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,14,0,568,250,578,259,13.45,1,619.4,2026-04-07T22:21:17.667Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,15,0,472,178,472,183,5.00,1,537.9,2026-04-07T22:21:19.156Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,16,0,721,329,709,319,15.62,1,704.8,2026-04-07T22:21:20.813Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,17,0,148,214,142,203,12.53,1,703.8,2026-04-07T22:21:22.472Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,18,0,270,78,264,60,18.97,1,722.9,2026-04-07T22:21:24.151Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,19,0,629,65,626,67,3.61,1,704.5,2026-04-07T22:21:25.811Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,20,0,607,171,620,161,16.40,1,636.9,2026-04-07T22:21:27.405Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,21,0,736,347,761,343,25.32,1,713.9,2026-04-07T22:21:29.072Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,22,0,133,249,137,246,5.00,1,691.2,2026-04-07T22:21:30.719Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,23,0,188,209,201,211,13.15,1,572.1,2026-04-07T22:21:32.250Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,24,0,94,347,102,347,8.00,1,710.3,2026-04-07T22:21:33.918Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,25,0,116,425,123,426,7.07,1,714.1,2026-04-07T22:21:35.590Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,26,0,496,196,503,200,8.06,1,552.1,2026-04-07T22:21:37.100Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,27,0,544,412,530,414,14.14,1,673.1,2026-04-07T22:21:38.731Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,28,0,53,341,62,345,9.85,1,661.3,2026-04-07T22:21:40.351Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,29,0,429,296,429,298,2.00,1,648.2,2026-04-07T22:21:41.956Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,30,0,317,415,315,421,6.32,1,730.9,2026-04-07T22:21:43.639Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,31,0,681,408,669,398,15.62,1,722.3,2026-04-07T22:21:45.320Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,32,0,131,97,131,92,5.00,1,689.5,2026-04-07T22:21:46.967Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,33,0,736,306,739,308,3.61,1,779.3,2026-04-07T22:21:48.697Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,34,0,620,435,627,437,7.28,1,753.4,2026-04-07T22:21:50.401Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,35,0,592,108,597,111,5.83,1,783.4,2026-04-07T22:21:52.141Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,36,0,461,203,462,201,2.24,1,623.0,2026-04-07T22:21:53.721Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,37,0,579,247,581,247,2.00,1,661.5,2026-04-07T22:21:55.339Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,38,0,602,132,601,134,2.24,1,728.2,2026-04-07T22:21:57.033Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,39,0,170,366,167,367,3.16,1,771.7,2026-04-07T22:21:58.759Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,40,0,455,173,450,175,5.39,1,586.7,2026-04-07T22:22:00.304Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,41,0,169,322,164,329,8.60,1,817.6,2026-04-07T22:22:02.075Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,42,0,685,122,691,127,7.81,1,769.2,2026-04-07T22:22:03.798Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,43,0,289,122,286,114,8.54,1,763.0,2026-04-07T22:22:05.512Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,44,0,650,435,656,438,6.71,1,798.8,2026-04-07T22:22:07.266Z
misha 2,VA,18-24,Mouse,Weekly,1,visual,45,0,566,175,571,182,8.60,1,708.8,2026-04-07T22:22:08.926Z
