participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Owen,VA,18-24,Trackpad,Never,1,visual,1,0,462,438,454,435,8.44,1,714.0,2026-04-05T22:40:47.662Z
Owen,VA,18-24,Trackpad,Never,1,visual,2,0,146,440,142,458,18.73,1,933.0,2026-04-05T22:40:49.546Z
Owen,VA,18-24,Trackpad,Never,1,visual,3,0,417,236,437,236,20.00,1,481.0,2026-04-05T22:40:50.979Z
Owen,VA,18-24,Trackpad,Never,1,visual,4,0,267,367,265,369,3.05,1,532.0,2026-04-05T22:40:52.461Z
Owen,VA,18-24,Trackpad,Never,1,visual,5,0,544,333,554,346,16.64,1,565.0,2026-04-05T22:40:53.978Z
Owen,VA,18-24,Trackpad,Never,1,visual,6,0,60,387,54,385,6.24,1,700.0,2026-04-05T22:40:55.629Z
Owen,VA,18-24,Trackpad,Never,1,visual,7,0,331,52,363,102,59.61,0,567.0,2026-04-05T22:40:57.146Z
Owen,VA,18-24,Trackpad,Never,1,visual,8,0,100,128,99,121,6.78,1,698.0,2026-04-05T22:40:58.796Z
Owen,VA,18-24,Trackpad,Never,1,visual,9,0,578,338,571,341,7.74,1,665.0,2026-04-05T22:41:00.412Z
Owen,VA,18-24,Trackpad,Never,1,visual,10,0,178,130,186,139,12.27,1,584.0,2026-04-05T22:41:01.946Z
Owen,VA,18-24,Trackpad,Never,1,visual,11,0,467,146,474,133,14.50,1,464.0,2026-04-05T22:41:03.362Z
Owen,VA,18-24,Trackpad,Never,1,visual,12,0,100,428,100,423,4.70,1,683.0,2026-04-05T22:41:04.996Z
Owen,VA,18-24,Trackpad,Never,1,visual,13,0,518,198,523,206,9.69,1,464.0,2026-04-05T22:41:06.411Z
Owen,VA,18-24,Trackpad,Never,1,visual,14,0,549,291,528,293,21.13,1,599.0,2026-04-05T22:41:07.962Z
Owen,VA,18-24,Trackpad,Never,1,visual,15,0,189,140,190,144,4.41,1,566.0,2026-04-05T22:41:09.479Z
Owen,VA,18-24,Trackpad,Never,1,visual,16,0,371,101,374,108,7.89,1,532.0,2026-04-05T22:41:10.962Z
Owen,VA,18-24,Trackpad,Never,1,visual,17,0,385,242,386,219,22.73,1,448.0,2026-04-05T22:41:12.361Z
Owen,VA,18-24,Trackpad,Never,1,visual,18,0,247,307,239,313,10.18,1,483.0,2026-04-05T22:41:13.796Z
Owen,VA,18-24,Trackpad,Never,1,visual,19,0,509,350,514,371,21.88,1,615.0,2026-04-05T22:41:15.362Z
Owen,VA,18-24,Trackpad,Never,1,visual,20,0,588,428,571,426,17.09,1,649.0,2026-04-05T22:41:16.961Z
Owen,VA,18-24,Trackpad,Never,1,visual,21,0,701,141,706,145,6.59,1,700.0,2026-04-05T22:41:18.613Z
Owen,VA,18-24,Trackpad,Never,1,visual,22,0,517,263,541,271,25.39,1,548.0,2026-04-05T22:41:20.112Z
