participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
rohan,VA,18-24,Trackpad,Rarely,1,visual,1,0,418,71,417,73,1.80,1,963.8,2026-04-07T19:38:40.510Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,2,0,650,162,652,173,10.69,1,844.4,2026-04-07T19:38:42.309Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,3,0,252,177,258,183,8.14,1,832.0,2026-04-07T19:38:44.093Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,4,0,365,253,362,246,8.08,1,780.1,2026-04-07T19:38:45.826Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,5,0,217,305,229,294,16.62,1,829.6,2026-04-07T19:38:47.609Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,6,0,640,179,658,172,19.50,1,631.3,2026-04-07T19:38:49.193Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,7,0,348,289,376,272,33.02,1,646.5,2026-04-07T19:38:50.793Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,8,0,658,362,655,363,3.04,1,846.9,2026-04-07T19:38:52.592Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,9,0,361,310,365,309,4.27,1,798.9,2026-04-07T19:38:54.343Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,10,0,195,418,196,415,3.64,1,1046.5,2026-04-07T19:38:56.343Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,11,0,292,439,300,435,9.18,1,931.9,2026-04-07T19:38:58.227Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,12,0,355,268,358,274,6.26,1,679.9,2026-04-07T19:38:59.859Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,13,0,183,277,186,277,3.04,1,663.4,2026-04-07T19:39:01.475Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,14,0,156,98,147,91,11.72,1,714.8,2026-04-07T19:39:03.143Z
rohan,VA,18-24,Trackpad,Rarely,1,visual,15,0,222,429,206,417,20.30,1,828.2,2026-04-07T19:39:04.925Z
